Rank,Name,Title,Federation,Tournaments Played,Tournaments Counted,Total Points,Avg Points,Avg Rating,Avg Opponent Rating,Win Percentage
115,"Shihab Khaled",,LBN,1,1,4.0,4.00,1935,1780,57.1
116,"Haddad Peter",,LBN,1,1,4.0,4.00,1594,1900,57.1
117,"Abu Alfa Imad Al Deen",,LBN,1,1,4.0,4.00,1684,1697,57.1
118,"Flayhan Zouhair",,LBN,1,1,4.0,4.00,1631,1883,57.1
119,"Wehbe Roy",,LBN,1,1,4.0,4.00,1635,1684,57.1
120,"Housseiny Ali",,LBN,1,1,4.0,4.00,1587,1742,57.1
121,"Bchara Eugenie",,LBN,1,1,4.0,4.00,1518,1722,57.1
122,"Shmoury Abdelrahim",,LBN,1,1,4.0,4.00,1707,1563,57.1
123,"AlAhmad Ahmad Adnan",,LBN,1,1,4.0,4.00,0,1595,57.1
124,"El Khoury Brayan",,LBN,1,1,4.0,4.00,1980,1840,66.7
125,"Ousama Khaled Lakki",,PLE,1,1,4.0,4.00,1816,1690,57.1
126,"Hanna Elie",,LBN,1,1,4.0,4.00,1887,1752,57.1
127,"Arkadan Adam",,LBN,1,1,4.0,4.00,1668,1643,57.1
128,"Matta Dany",,LBN,1,1,4.0,4.00,1740,1621,50.0
129,"Al Hayek Ahmad",,LBN,1,1,4.0,4.00,1716,1652,57.1
130,"Boulos Carlos",CM,LBN,1,1,4.0,4.00,2187,1843,57.1
131,"Saad Tarek",,LBN,1,1,4.0,4.00,1818,1736,57.1
132,"Moghnieh Hussein",AIM,LBN,1,1,4.0,4.00,1673,1861,57.1
133,"Hamoushi Mohamad Ali",,LBN,1,1,4.0,4.00,1741,1598,57.1
134,"Wehbi Issa",,LBN,1,1,4.0,4.00,1814,1636,57.1
135,"Moarbes Charbel",,LBN,1,1,4.0,4.00,1723,1690,57.1
136,"El Rahi Adrian",,LBN,1,1,4.0,4.00,1774,1809,57.1
137,"Baydoun Rayan",,LBN,1,1,4.0,4.00,1649,1592,57.1
138,"Abi Azar Jean",,LBN,1,1,4.0,4.00,1717,1629,50.0
139,"Nasser Youssef",,LBN,1,1,4.0,4.00,1665,1770,57.1
140,"Ward Serge",,LBN,1,1,4.0,4.00,1812,1857,57.1
141,"Abdalah Jad",,LBN,2,2,4.0,2.00,0,1644,33.3
142,"Abi Aad Michel",,LBN,2,2,4.0,2.00,0,1611,28.6
143,"Hamade Rawad",,LBN,2,2,4.0,2.00,0,1531,28.6
144,"Saleh Jihad",,LBN,2,2,4.0,2.00,1445,1621,28.6
145,"Rahal Ali Hassan",,LBN,2,2,4.0,2.00,0,1550,28.6
146,"Hamze Adam",,LBN,2,2,4.0,2.00,0,1598,16.7
147,"Hammoud Mohammad",,LBN,2,2,4.0,2.00,0,1608,23.1
148,"Amin Micheal",,LBN,2,2,4.0,2.00,0,1739,28.6
149,"Al Zarif Hassan",,LBN,2,2,4.0,2.00,1841,1798,57.1
150,"Haddad Charbel-Anthony",,LBN,1,1,3.5,3.50,1541,1762,50.0
151,"Rahhal Serje",,LBN,1,1,3.5,3.50,1605,1627,50.0
152,"Khawli Nicolas",,LBN,1,1,3.5,3.50,1646,1626,50.0
153,"Mokdad Mohamad",,LBN,1,1,3.5,3.50,1701,1621,41.7
154,"El Mahmoud Abdulaziz",CM,LBN,1,1,3.5,3.50,1966,1843,50.0
155,"Ghabach Maria",,LBN,2,2,3.5,1.75,0,1588,25.0
156,"Fayad Michel",,LBN,3,3,3.5,1.17,0,1532,25.0
157,"Harika Rodolph",,LBN,1,1,3.0,3.00,1425,1729,42.9
158,"El Amine Abdallah",,LBN,1,1,3.0,3.00,0,1617,42.9
159,"Saab Karim",,LBN,1,1,3.0,3.00,0,1586,33.3
160,"Talayeh Rawad",,LBN,1,1,3.0,3.00,1563,1859,42.9
161,"Samaha Sebou",,LBN,1,1,3.0,3.00,0,1542,33.3
162,"Abou Jaoude Karim",,LBN,1,1,3.0,3.00,0,1671,42.9
163,"Al Dahab Khaled",,LBN,1,1,3.0,3.00,1531,1692,42.9
164,"Seropian Zareh",,LBN,1,1,3.0,3.00,1490,1685,42.9
165,"Chaheen Raed",,LBN,1,1,3.0,3.00,1506,1692,50.0
166,"Hijazi Kassem Rabih",,LBN,1,1,3.0,3.00,1530,1628,33.3
167,"Jarrah Taha",,LBN,1,1,3.0,3.00,1537,1546,50.0
168,"Karaali Hadi",,LBN,1,1,3.0,3.00,1446,1648,42.9
169,"Ghanem Haitham Yehia",,LBN,1,1,3.0,3.00,1598,1790,33.3
170,"Saber Samer",,LBN,1,1,3.0,3.00,1499,1722,42.9
171,"Hreiche Hasan",,LBN,1,1,3.0,3.00,1488,1719,33.3
172,"Baddour Daniel",,LBN,1,1,3.0,3.00,1491,1717,42.9
173,"Karout Al Horr",,LBN,1,1,3.0,3.00,1426,1636,42.9
174,"Rammal Ayman",,LBN,1,1,3.0,3.00,1806,1593,42.9
175,"Christ Aramali",,LBN,1,1,3.0,3.00,0,1679,42.9
176,"Saab Mario",,LBN,1,1,3.0,3.00,1531,1725,42.9
177,"Asaad Ali",,LBN,1,1,3.0,3.00,0,1638,42.9
178,"Abou Hjeily Karim",,LBN,1,1,3.0,3.00,0,1668,42.9
179,"Al Harakeh Wassim",,LBN,1,1,3.0,3.00,0,1598,42.9
180,"El Khatib Ali .M",,LBN,1,1,3.0,3.00,1647,1763,60.0
181,"Bedrosian Danielle",,LBN,1,1,3.0,3.00,1630,1695,33.3
182,"Hanna Kevin Claude",,LBN,1,1,3.0,3.00,1597,1979,60.0
183,"Abou Zeid Joseph",,LBN,1,1,3.0,3.00,0,1653,42.9
184,"Khayat Ryan",,LBN,1,1,3.0,3.00,0,1535,42.9
185,"Chaaya Ribal",,LBN,1,1,3.0,3.00,0,1600,42.9
186,"Al Sheikh Younes",,LBN,1,1,3.0,3.00,0,1819,33.3
187,"Eid Floron",,LBN,1,1,3.0,3.00,1578,1823,42.9
188,"Abou Taam Mahmoud",,LBN,1,1,3.0,3.00,1502,1796,42.9
189,"Eido Nawar",,LBN,2,2,3.0,1.50,0,1634,42.9
190,"Choukri Marianne",,LBN,2,2,3.0,1.50,0,1617,15.4
191,"Francis Myriam",,LBN,2,2,3.0,1.50,1427,1657,27.3
192,"Hamoud Ali",,LBN,1,1,2.5,2.50,0,1550,35.7
193,"Ghorabi Adam",,LBN,1,1,2.5,2.50,1582,1665,35.7
194,"Daher Stephan",,LBN,1,1,2.5,2.50,0,1752,35.7
195,"Jaber Mohammad Khalil",,LBN,1,1,2.5,2.50,1640,1696,35.7
196,"Houmani Ali",,LBN,1,1,2.5,2.50,0,1622,25.0
197,"AbouKhdoud Ali",,LBN,1,1,2.5,2.50,0,1670,35.7
